Clean data CS105 Winter'26 Mini-Project Survey (Responses) Timestamp,"What class are you filling out this survey for? Check all that apply. If none of the listed options apply, select ""Other"" and enter your class name (for example, CS105).",What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",What is your current cumulative GPA?,What is your age? Answer with a number only.,What is your ethnicity?,What gender do you identify as?,Select ALL that you identify with:,"How many hours of sleep on average do you get? Select a answer for each of the following situations:
 [During finals week:]","Over the past 2 weeks, how often have you felt mentally overwhelmed or stressed
1. Never
2. Almost Never
3. Sometimes
4. Somewhat frequently
5. E5day",Please indicate how much you agree with the following statements regarding the current job market in your major.  (Each row should have one answer) [I feel optimistic about my career prospects in this field],"Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [In-person lectures]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well How 4 are you able to concentrate during each of the following:
 [In-person discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Online lectures or discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Small study group sessions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Exams]",How many coding languages would you say you’re proficient in?,What was the first programming language you learned?,"Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Final project instead of exam]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Easy exams]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Friendly professor]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Accessible office hours]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Low workload]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [No required attendence]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Interested in material]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Prepares for future job]",What class(es) do you think prepared you most for the career field you want to pursue? CS courses,What class(es) do you think prepared you most for the career field you want to pursue? ENGINEERING,What class(es) do you think prepared you most for the career field you want to pursue? DS courses,What class(es) do you think prepared you most for the career field you want to pursue? Humanities,Think about your time at UCR. Which week during the quarter do you: [Start feeling burnout],Think about your time at UCR. Which week during the quarter do you: [Have sleep deprivation],Think about your time at UCR. Which week during the quarter do you: [Start feeling less confident in the material],Think about your time at UCR. Which week during the quarter do you: [Start feeling more confident in the material],Think about your time at UCR. Which week during the quarter do you: [Study the most],Think about your time at UCR. Which week during the quarter do you: [Enjoy the most],"Choose the resources that has been most helpful in your success in your favorite course. Choose all that apply.
","How confidently can you explain the following concepts to someone who hasn’t taken it? 
   FOR CS MAJORS/MINORS: Pointers, if/else statements, for/while loops
   FOR DS MAJORS/MINORS: numpy, pandas, matplotlib, hypothesis testing"
2/2/2026 18:29:23,CS111,Sophomore,No,CS major,3.33 – 3.67,19,Asian,Male,First Generation Student,4-5 hours,3,3 (3),1,1,1,4,4,3,C++/C,4 (Good reason),5 (5 good reason),4 (Good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 6,Week 9,Week 7,Week 9,Week 9,Week 1,ULA services,8
2/2/2026 18:33:30,CS111,Sophomore,No,CS major,3.67 – 4.0,19,"Asian, Southeast Asian",Male,First Generation Student,Less than 4,4,Agree (4),4,4,4,3,5,12,Javascript,4 (Good reason),4 (Good reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),4 (Good reason),4 (Good reason),CS100,,,,Week 6,Week 1,Week 9,Week 1,Week 6,Week 6,"Office hours, Slack communication",10
2/2/2026 18:35:46,CS105,Senior,No,CS major,3.67 – 4.0,20,Hispanic or Latino,Male,First Generation Student,6-7 hours,4,Agree (4),4,3,2,5,4,3,C++/C,4 (Good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),N/A,N/A,N/A,N/A,Week 5,Week 4,Week 4,Week 8,Week 9,Week 1,"AI tools, Study groups",8
2/2/2026 18:53:02,CS105,Senior,Yes,Data Science major,3.67 – 4.0,22,Asian,Male,Second Generation Student,4-5 hours,2,Strongly Agree (5),2,2,1,4,5,3,Java,4 (Good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),1 (Not a good reason),3 (Moderate reason),5 (5 good reason),CS105,,,,Week 7,Week 9,Week 8,Week 8,Week 8,Week 1,"Office hours, AI tools",3
2/2/2026 18:57:12,CS105,Junior,Yes,CS or DS minor,2.67 – 3.0,23,Hispanic or Latino,Female,First Generation Student,4-5 hours,4,3 (3),5,5,5,5,4,3,C++/C,3 (Moderate reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),4 (Good reason),1 (Not a good reason),4 (Good reason),5 (5 good reason),"CS100, CS105",,,,Week 6,Week 4,Week 2,Week 7,Week 9,Week 1,"Office hours, Study groups",10
2/2/2026 19:01:44,CS111,Junior,No,CSBA major,3.33 – 3.67,20,Asian,Male,First Generation Student,4-5 hours,4,Disagree (2),4,4,3,5,3,1,Python,4 (Good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),"CS100, CS10C",,,BUS103,Week 6,Week 8,Week 7,Week 1,Week 9,Week 4,"Office hours, AI tools, Study groups, ULA services",8
2/2/2026 19:19:17,CS111,Junior,No,CSBA major,3.33 – 3.67,20,Asian,Male,First Generation Student,4-5 hours,3,Strongly Disagree (1),4,4,1,4,3,1,Python,5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS 10C,,,,Week 5,Week 8,Week 4,Week 8,Week 9,Week 1,"Study groups, ULA services",5
2/2/2026 19:28:08,CS105,Senior,Yes,CS major,3.67 – 4.0,21,Asian,Female,First Generation Student,6-7 hours,3,3 (3),5,4,3,4,5,2,Java,1 (Not a good reason),2 (5 small reason),4 (Good reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),5 (5 good reason),3 (Moderate reason),"CS141, CS179M",,,,Week 5,Week 5,Week 2,Week 9,Week 9,Week 2,"Office hours, AI tools",8
2/2/2026 19:28:31,CS111,Sophomore,No,CS major,3.67 – 4.0,19,Asian,Male,Second Generation Student,Less than 4,4,Disagree (2),2,4,2,5,5,3,C++/C,1 (Not a good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),"CS141,CS010C",,,,Week 4,Week 3,Week 6,Week 7,Week 9,Week 1,"AI tools, Slack communication, Study groups",8
2/2/2026 19:38:07,CS111,Junior,No,CSBA major,3.67 – 4.0,20,Asian,Male,Second Generation Student,6-7 hours,4,Agree (4),4,3,1,4,5,1,C++/C,3 (Moderate reason),2 (5 small reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),2 (5 small reason),5 (5 good reason),1 (Not a good reason),"CS10A, CS10B, or CS10C",,,,Week 5,Week 9,Week 4,Week 6,Week 6,Week 1,"Office hours, Study groups, ULA services",8
2/2/2026 19:40:51,CS111,Junior,No,CS major,3.67 – 4.0,19,Asian,Male,Other,4-5 hours,4,Agree (4),4,4,3,3,4,2,Python,5 (5 good reason),5 (5 good reason),4 (Good reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),CS 100,,,,Week 5,Week 5,Week 5,Week 3,Week 3,Week 1,"AI tools, Slack communication, ULA services",8
2/2/2026 20:46:15,CS105,Senior,No,CS major,3.67 – 4.0,21,Asian,Male,First Generation Student,4-5 hours,3,Agree (4),3,4,2,4,4,5,Javascript,3 (Moderate reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),2 (5 small reason),3 (Moderate reason),4 (Good reason),"CS100, CS105, CS171",,,,Week 5,Week 5,Week 6,Week 2,Week 3,Week 1,"Office hours, AI tools, Slack communication, Study groups",8
2/2/2026 20:46:42,CS111,Junior,Yes,CS major,3.33 – 3.67,21,Asian,Female,International Student,4-5 hours,4,3 (3),5,3,4,4,5,1,C++/C,5 (5 good reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),CS110,,,,Week 5,Week 3,Week 2,Week 4,Week 5,Week 1,"Office hours, AI tools, Personal tutoring",7
2/2/2026 20:49:59,CS111,Sophomore,No,CS major,3.67 – 4.0,19,Asian,Male,International Student,4-5 hours,3,Agree (4),4,4,3,5,5,3,QBasic,1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),2 (5 small reason),CS010C,,,,Week 6,Week 5,Week 6,Week 7,Week 8,Week 2,"Office hours, AI tools, Study groups, ULA services",8
2/2/2026 21:19:19,CS111,Sophomore,No,CSBA major,3.0 – 3.33,19,American Indian or Alaskan Native,Male,Other,4-5 hours,3,3 (3),3,3,3,3,3,2,Python,4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),CS 061,,,,Week 4,Week 4,Week 5,Week 5,Week 5,Week 5,"Office hours, Slack communication, Study groups, Personal tutoring, ULA services",9
2/2/2026 21:49:40,CS105,Senior,No,CS major,2.33 – 2.67,21,Black,Male,Other,Less than 4,1,Disagree (2),2,2,3,4,4,4,Java,5 (5 good reason),5 (5 good reason),3 (Moderate reason),1 (Not a good reason),4 (Good reason),4 (Good reason),4 (Good reason),5 (5 good reason),"CS10B, CS10C, CS169",,,,Week 4,Week 3,Week 4,Week 2,Week 4,Week 1,"AI tools, Study groups",10
2/2/2026 23:27:53,CS111,Senior,Yes,CEN or EE major,3.33 – 3.67,28,Asian,Male,Second Generation Student,Less than 4,1,Strongly Disagree (1),4,4,4,4,4,1,C++/C,1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),N/A,N/A,N/A,N/A,Week 9,Week 9,Week 9,Week 1,Week 1,Week 1,"Office hours, AI tools",5
2/2/2026 23:31:16,CS111,Junior,Yes,CS major,3.67 – 4.0,20,White,Male,Second Generation Student,4-5 hours,5,Agree (4),4,5,3,5,4,3,Javascript,3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 5,Week 5,Week 2,Week 6,Week 8,Week 1,"Office hours, Study groups",10
2/2/2026 23:44:58,CS111,Senior,No,CEN or EE major,3.33 – 3.67,21,Asian,Male,Second Generation Student,6-7 hours,3,Strongly Disagree (1),4,3,3,3,5,4,C++/C,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS010C,,,,Week 9,Week 9,Week 9,Week 8,Week 9,Week 1,"AI tools, Slack communication, Study groups",7
2/2/2026 23:48:36,CS111,Junior,No,CS major,3.33 – 3.67,21,Asian,Male,First Generation Student,6-7 hours,3,Strongly Disagree (1),3,3,3,3,3,2,Python,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),"CS010C, CS141",,,,Week 5,Week 5,Week 5,Week 5,Week 5,Week 5,"AI tools, ULA services",10
2/2/2026 23:55:31,CS111,Junior,No,CS major,3.67 – 4.0,19,Asian,Female,First Generation Student,4-5 hours,5,Strongly Disagree (1),3,2,3,1,3,1,C++/C,1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),"CS010A, CS010B, CS010C, CS061",,,,Week 3,Week 3,Week 3,Week 1,Week 9,Week 1,"Office hours, AI tools, Personal tutoring",9
2/3/2026 0:04:35,CS105,Senior,No,CS major,3.67 – 4.0,20,Asian,Female,First Generation Student,4-5 hours,3,Disagree (2),3,3,2,4,4,1,C++/C,2 (5 small reason),3 (Moderate reason),3 (Moderate reason),4 (Good reason),4 (Good reason),3 (Moderate reason),4 (Good reason),2 (5 small reason),CS141,,,,Week 4,Week 2,Week 3,Week 7,Week 9,Week 1,Office hours,8
2/3/2026 0:09:11,CS111,Junior,No,CS major,3.0 – 3.33,19,"Asian, White",Male,Other,8-9 hours,4,3 (3),4,4,4,4,4,3,Javascript,1 (Not a good reason),2 (5 small reason),5 (5 good reason),2 (5 small reason),4 (Good reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),CS010C,,,,Week 5,Week 9,Week 5,Week 9,Week 9,Week 1,Study groups,7
2/3/2026 0:17:30,CS111,Junior,No,Robotics Major,3.0 – 3.33,20,Asian,Male,Second Generation Student,8-9 hours,4,Strongly Agree (5),3,4,2,5,5,3,HTML & CSS,5 (5 good reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),2 (5 small reason),4 (Good reason),5 (5 good reason),,EE106,,,Week 2,Week 3,Week 3,Week 8,Week 1,Week 1,"AI tools, Slack communication, Personal tutoring",9
2/3/2026 0:35:27,CS111,Junior,No,Data Science major,3.67 – 4.0,19,Asian,Female,Second Generation Student,4-5 hours,4,Strongly Disagree (1),3,2,1,4,3,1,Python,2 (5 small reason),4 (Good reason),5 (5 good reason),1 (Not a good reason),3 (Moderate reason),2 (5 small reason),5 (5 good reason),4 (Good reason),N/A,N/A,N/A,N/A,Week 9,Week 4,Week 5,Week 2,Week 9,Week 2,AI tools,4
2/3/2026 1:04:07,CS111,Sophomore,No,CEN or EE major,3.33 – 3.67,19,Asian,Male,Other,4-5 hours,5,Strongly Disagree (1),5,5,4,5,3,2,Python,1 (Not a good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),CS009C,EE030A,,MATH045,Week 2,Week 2,Week 1,Week 7,Week 9,Week 1,"Office hours, AI tools, Slack communication",10
2/3/2026 1:12:38,CS111,Senior,Yes,CS or DS minor,3.67 – 4.0,24,Asian,Male,First Generation Student,4-5 hours,5,Disagree (2),3,3,1,4,4,2,C++/C,4 (Good reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),5 (5 good reason),1 (Not a good reason),4 (Good reason),5 (5 good reason),CS 100,,,,Week 3,Week 2,Week 1,Week 4,Week 7,Week 6,Office hours,10
2/3/2026 1:15:21,CS111,Junior,Yes,Data Science major,3.0 – 3.33,22,Hispanic or Latino,Male,First Generation Student,4-5 hours,4,Disagree (2),2,4,3,1,4,1,Python,3 (Moderate reason),4 (Good reason),4 (Good reason),1 (Not a good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS105,,STAT156A,,Week 5,Week 2,Week 2,Week 1,Week 9,Week 1,"AI tools, ULA services",7
2/3/2026 2:59:40,CS111,Sophomore,No,CS major,3.67 – 4.0,19,Asian,Male,First Generation Student,4-5 hours,2,Agree (4),5,5,5,4,3,8,C++/C,1 (Not a good reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),"CS010C, CS111",,,,Week 7,Week 9,Week 9,Week 5,Week 6,Week 9,"Office hours, AI tools, Slack communication",10
2/3/2026 3:31:16,CS111,Sophomore,No,CS major,3.0 – 3.33,19,Hispanic or Latino,Male,First Generation Student,4-5 hours,4,Strongly Agree (5),5,5,4,4,4,1,C++/C,1 (Not a good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),"CS010B, CS010C, CS100",,,,Week 8,Week 3,Week 3,Week 4,Week 5,Week 9,"Office hours, AI tools, Slack communication, Personal tutoring, ULA services",10
2/3/2026 4:11:43,"CS105, CS111",Junior,Yes,CS major,3.67 – 4.0,19,"Asian, White",Male,Other,4-5 hours,5,Disagree (2),5,3,4,3,2,4,Javascript,1 (Not a good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),CS100,,,,Week 1,Week 5,Week 4,Week 4,Week 5,Week 4,"Office hours, Study groups",10
2/3/2026 8:01:21,CS111,Junior,Yes,Data Science major,3.67 – 4.0,24,Hispanic or Latino,Male,Second Generation Student,8-9 hours,3,3 (3),4,4,1,3,5,4,Python,3 (Moderate reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),1 (Not a good reason),5 (5 good reason),3 (Moderate reason),N/A,N/A,N/A,N/A,N/A,N/A,Week 1,Week 1,Week 8,Week 9,"Office hours, AI tools",10
2/3/2026 8:58:00,CS111,Sophomore,No,CS major,3.33 – 3.67,19,Asian,Male,International Student,4-5 hours,4,Disagree (2),3,3,2,3,4,2,Python,4 (Good reason),4 (Good reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),4 (Good reason),4 (Good reason),"CS100, CS010C",,,,Week 7,Week 4,Week 4,Week 2,Week 9,Week 2,"AI tools, Slack communication, Study groups",8
2/3/2026 9:11:36,CS111,Junior,Yes,CS major,3.67 – 4.0,20,Asian,Female,Second Generation Student,4-5 hours,5,Disagree (2),4,4,3,2,3,1,C++/C,2 (5 small reason),2 (5 small reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),1 (Not a good reason),5 (5 good reason),3 (Moderate reason),CS100,,,,Week 5,Week 4,Week 4,Week 6,Week 8,Week 1,"Office hours, AI tools, Slack communication, Personal tutoring, ULA services",8
2/3/2026 9:18:35,CS111,Junior,Yes,CS major,3.33 – 3.67,24,Asian,Male,Second Generation Student,4-5 hours,5,Disagree (2),2,4,3,2,5,1,Java,1 (Not a good reason),3 (Moderate reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),4 (Good reason),4 (Good reason),4 (Good reason),CS100,,,,Week 5,Week 9,Week 4,Week 9,Week 7,Week 1,"Office hours, AI tools",8
2/3/2026 9:35:02,CS105,Senior,No,CS major,3.67 – 4.0,21,Asian,Male,Second Generation Student,4-5 hours,2,3 (3),3,3,2,4,5,2,HTML & CSS,3 (Moderate reason),5 (5 good reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS162,,,,Week 5,Week 7,Week 7,Week 2,Week 9,Week 1,"AI tools, Slack communication",9
2/3/2026 9:40:44,CS105,Senior,Yes,CSBA major,2.33 – 2.67,23,Asian,Female,Second Generation Student,6-7 hours,3,Strongly Agree (5),4,5,2,4,4,1,C++/C,2 (5 small reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),3 (Moderate reason),4 (Good reason),CS10C,,,,Week 7,Week 7,Week 7,Week 8,Week 9,Week 1,"Office hours, AI tools, Slack communication, ULA services",2
2/3/2026 9:49:20,CS111,Junior,No,CSBA major,3.67 – 4.0,19,Asian,Female,Other,4-5 hours,4,Disagree (2),4,4,3,4,4,1,Javascript,4 (Good reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),4 (Good reason),1 (Not a good reason),1 (Not a good reason),2 (5 small reason),"CS010C, CS170",,,,Week 5,Week 6,Week 6,Week 2,Week 4,Week 1,"Office hours, AI tools, ULA services",10
2/3/2026 10:11:32,CS105,Senior,No,CS major,3.67 – 4.0,20,Asian,Trans-gender,Second Generation Student,8+ hours,2,3 (3),4,5,4,5,5,3,Python,2 (5 small reason),3 (Moderate reason),5 (5 good reason),2 (5 small reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),2 (5 small reason),"CS166, CS100",,,ENGR001,Week 7,Week 1,Week 8,Week 4,Week 9,Week 1,Study groups,10
2/3/2026 10:14:36,CS111,Sophomore,No,CS major,3.67 – 4.0,19,Asian,Male,Other,8-9 hours,3,Disagree (2),3,4,2,4,5,3,HTML & CSS,1 (Not a good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),CS010C,,,,Week 6,N/A,Week 3,Week 8,Week 5,Week 1,"Office hours, ULA services",10
2/3/2026 10:20:58,CS105,Senior,No,CS major,3.67 – 4.0,21,Hispanic or Latino,Female,Second Generation Student,8-9 hours,5,Disagree (2),4,3,2,4,5,2,Python,1 (Not a good reason),4 (Good reason),5 (5 good reason),1 (Not a good reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),"CS170, CS135, CS130",,,,Week 4,Week 3,Week 4,Week 6,Week 9,Week 1,Office hours,10
2/3/2026 10:22:26,CS111,Sophomore,No,CS major,3.67 – 4.0,20,White,Male,Other,6-7 hours,3,Disagree (2),4,3,2,5,5,3,Java,1 (Not a good reason),3 (Moderate reason),5 (5 good reason),4 (Good reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),2 (5 small reason),"CS100, CS010C",,,,Week 6,Week 6,Week 4,Week 7,Week 9,Week 1,"Office hours, AI tools",8
2/3/2026 10:42:59,CS111,Junior,No,CS major,3.0 – 3.33,20,Hispanic or Latino,Female,First Generation Student,6-7 hours,5,3 (3),3,3,2,3,3,1,C++/C,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),CS010C,,,,Week 5,Week 5,Week 4,Week 2,Week 9,Week 1,"Office hours, ULA services",6
2/3/2026 10:46:12,CS111,Junior,No,CEN or EE major,3.67 – 4.0,19,Hispanic or Latino,Male,First Generation Student,6-7 hours,2,Agree (4),5,5,3,2,4,3,Javascript,1 (Not a good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),CS010C,,,,Week 6,Week 9,Week 4,Week 9,Week 5,Week 1,"Office hours, Slack communication, ULA services",9
2/3/2026 10:54:27,CS105,Senior,No,CS major,3.67 – 4.0,21,Asian,Male,Second Generation Student,4-5 hours,5,Strongly Disagree (1),4,5,2,5,5,1,Python,4 (Good reason),4 (Good reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),2 (5 small reason),CS166,,,,Week 3,Week 3,Week 4,Week 8,Week 8,Week 1,"Office hours, Study groups",5
2/3/2026 11:19:50,CS105,Senior,Yes,CS major,3.67 – 4.0,21,"White, Black",Male,Second Generation Student,6-7 hours,4,Disagree (2),5,4,3,4,5,2,Python,1 (Not a good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),3 (Moderate reason),CS180,,,ENGR180W,Week 2,Week 9,Week 2,Week 5,Week 1,Week 1,Slack communication,10
2/3/2026 12:04:08,CS105,Senior,Yes,CSBA major,3.67 – 4.0,21,Asian,Male,Second Generation Student,6-7 hours,2,3 (3),3,3,3,3,3,3,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),CS 180,,,,Week 5,Week 5,Week 5,Week 5,Week 5,Week 5,"Study groups, ULA services",5
2/3/2026 12:06:05,CS111,Junior,Yes,CS major,3.67 – 4.0,24,White,Male,Other,6-7 hours,3,3 (3),5,5,5,4,2,3,Javascript,5 (5 good reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),1 (Not a good reason),4 (Good reason),4 (Good reason),CS 100,,,,Week 4,Week 9,Week 1,Week 3,Week 6,Week 9,Office hours,10
2/3/2026 12:51:30,CS111,Junior,Yes,CSBA major,3.33 – 3.67,24,Hispanic or Latino,Female,First Generation Student,4-5 hours,4,3 (3),4,4,1,5,5,1,Java,1 (Not a good reason),1 (Not a good reason),4 (Good reason),4 (Good reason),3 (Moderate reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),"CS166, CS170",,,,Week 7,Week 5,Week 8,Week 8,Week 9,Week 1,"Office hours, AI tools, Slack communication, Study groups, Personal tutoring, ULA services",6
2/3/2026 13:31:30,CS111,Sophomore,No,CS major,3.33 – 3.67,18,Black,Male,Second Generation Student,6-7 hours,3,Agree (4),4,4,4,4,3,2,Python,3 (Moderate reason),4 (Good reason),4 (Good reason),4 (Good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),3 (Moderate reason),"CS010C, CS100",,,BUS020,Week 7,Week 8,Week 6,Week 3,Week 9,Week 2,"Office hours, Personal tutoring, ULA services",8
2/3/2026 13:32:10,CS111,Sophomore,No,CEN or EE major,3.67 – 4.0,20,Asian,Female,Second Generation Student,4-5 hours,4,3 (3),4,4,4,4,4,3,Java,4 (Good reason),3 (Moderate reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),2 (5 small reason),5 (5 good reason),3 (Moderate reason),N/A,N/A,N/A,N/A,Week 7,Week 6,Week 7,Week 3,Week 7,Week 1,ULA services,8
2/3/2026 13:47:06,CS105,Junior,No,CS major,2.67 – 3.0,20,Asian,Female,Second Generation Student,4-5 hours,3,Disagree (2),2,4,2,4,4,2,Java,3 (Moderate reason),5 (5 good reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),"CS105, CS010A, CS010B, CS010C",,,,Week 5,Week 3,Week 6,Week 6,Week 7,Week 1,"Office hours, AI tools, Study groups",7
2/3/2026 14:00:32,CS010A,Sophomore,No,MSE,Prefer not to say,20,Asian,Male,International Student,6-7 hours,3,3 (3),3,3,3,3,3,0,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),N/A,N/A,N/A,N/A,Week 1,Week 1,Week 1,Week 1,Week 1,Week 1,"Office hours, AI tools, Slack communication, Study groups, Personal tutoring, ULA services",5
2/3/2026 14:10:49,CS010A,Freshman,No,CSBA major,3.33 – 3.67,18,Hispanic or Latino,Non-binary,First Generation Student,6-7 hours,4,Strongly Disagree (1),3,3,3,4,4,0,C++/C,2 (5 small reason),4 (Good reason),5 (5 good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),4 (Good reason),,,,ENGR101,Week 4,Week 4,Week 8,Week 9,Week 4,Week 1,"Office hours, Study groups, Personal tutoring",6
2/3/2026 14:17:09,CS010A,Sophomore,Yes,Mathematics major,3.0 – 3.33,18,White,Female,First Generation Student,6-7 hours,3,Agree (4),4,4,3,4,5,0,C++/C,4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),2 (5 small reason),CS010A,,,,Week 5,Week 8,Week 6,Week 3,Week 9,Week 3,"Slack communication, Study groups",10
2/3/2026 14:21:18,CS010A,Sophomore,No,Mathematics major,2.67 – 3.0,19,White,Male,Other,6-7 hours,3,Disagree (2),4,4,2,2,3,0,C++/C,1 (Not a good reason),4 (Good reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),2 (5 small reason),5 (5 good reason),3 (Moderate reason),,,,MATH010B,Week 6,Week 7,Week 8,Week 2,Week 9,Week 2,Office hours,6
